Topology,DemandFile,ExitCode_SRPP,Time_SRPP,Umax_SRPP,ExitCode_MIP,Time_MIP,Umax_MIP,ExitCode_full,Time_full,Umax_full,ExitCode_CG4SR,Time_CG4SR,Umax_CG4SR
Belnet2004,2,0,0.818,2.0691312,0,13.657481436,2.0691312,0,2.605,2.0691312,0,2.043892015,2.3108296
Belnet2004,3,0,0.393,1.8017483333,0,22.934427991,1.8017483333,0,0.335,1.8017483333,0,1.731683762,2.162098
Belnet2004,4,0,0.849,1.9748036667,0,13.033021449,1.9748036667,0,0.748,1.9748036667,0,2.274017021,2.3697644
Belnet2005,0,0,1.429,1.0547208,0,5.611382354,1.11507192,0,0.587,1.0547176,0,2.287052725,1.082918
Belnet2005,1,0,0.547,0.9000917,0,0.56322477,0.900032,0,0.586,0.9000764,0,2.397079911,0.900078
Belnet2005,2,0,1.96,0.9000452,0,2.130087916,0.9000592,0,0.756,0.90007824,0,2.365882041,0.9100434
Belnet2005,3,0,0.488,0.9214651667,0,1.111944709,0.921447,0,0.447,0.9213883333,0,2.332104078,0.9872732
Belnet2005,4,0,0.641,1.3781444,0,1.585596,1.3781444,0,0.541,1.3781444,0,2.302126091,1.45338
Belnet2006,0,0,0.801,1.071694,0,9.597465898,1.071694,0,0.753,1.071694,0,2.356990176,1.071694
Belnet2006,1,0,0.382,3.5466366667,0,1.069152102,3.5466366667,0,0.374,3.5466366667,0,1.921719376,4.255964
Belnet2006,2,0,1.207,1.1323209,0,8.857492403,1.1322915,0,1.018,1.1322997,0,2.457008573,1.1469392
Belnet2006,3,0,0.688,1.1730283333,0,11.135159423,1.1730283333,0,0.677,1.1730283333,0,2.348625073,1.2913026
Belnet2006,4,0,0.48,0.9000573,0,1.084818773,0.9000858,0,0.467,0.9000836,0,2.095019272,0.9000779
Belnet2007,0,0,0.251,0.8999802,0,0.214945581,0.8999947333,0,0.274,0.8999904333,0,1.17966041,0.9000491
Belnet2007,1,0,0.325,0.8999943333,0,0.346481771,0.9000256667,0,0.289,0.9000263333,0,1.261248492,0.9000243333
Belnet2007,2,0,0.312,0.899986,0,0.359595513,0.900061,0,0.326,0.900039,0,1.265701038,0.899989
Belnet2007,3,0,0.29,0.900036,0,0.284758699,0.900064,0,0.251,0.899989,0,1.361484842,0.900062
Belnet2007,4,0,0.275,0.899993,0,0.357920516,0.900049,0,0.239,0.899998,0,1.224577648,0.89999
Belnet2008,0,0,0.32,0.8999833333,0,0.278261458,0.8999873333,0,0.257,0.899984,0,1.019110923,0.900013
Belnet2008,1,0,0.303,0.9000163333,0,0.396085837,0.900028,0,0.234,0.8999883333,0,1.236993619,0.899995
Belnet2008,2,0,0.255,0.900004,0,0.400590593,0.90005,0,0.267,0.899989,0,1.277284677,0.899999
Belnet2008,3,0,0.297,0.9000341667,0,0.376092665,0.9000366,0,0.374,0.8999892333,0,1.474263741,0.8999775667
Belnet2008,4,0,0.309,0.900004,0,0.473524602,0.899998,0,0.277,0.900063,0,1.211818915,0.900039
Belnet2009,0,0,0.32,0.899996,0,0.299896406,0.9,0,0.303,0.900002,0,1.33218754,0.9000486667
Belnet2009,1,0,0.378,0.899978,0,0.498201573,0.899988,0,0.336,0.899978,0,1.330623753,0.90006
Belnet2009,2,0,0.37,0.900022,0,0.376695431,0.899993,0,0.32,0.900013,0,1.268153098,0.900008
Belnet2009,3,0,0.308,0.899985,0,0.376637981,0.900062,0,0.29,0.899983,0,1.140358137,0.900011
Belnet2009,4,0,0.323,0.8999823333,0,0.242033138,0.9000583333,0,0.279,0.899999,0,1.215290755,0.899985
Belnet2010,0,0,0.349,0.9000106667,0,0.550885952,0.9000109333,0,0.261,0.9000453333,0,1.528504764,0.9000203
Belnet2010,1,0,0.294,0.9000363333,0,0.582867538,0.9000193333,0,0.28,0.899999,0,1.538234905,0.8999843333
Belnet2010,2,0,0.344,0.900064,0,0.50434791,0.900006,0,0.332,0.900038,0,1.540126805,0.9000555
Belnet2010,3,0,0.249,0.9000315,0,0.60511441,0.899983,0,0.269,0.900007,0,1.44071344,0.9000355
Belnet2010,4,0,0.249,0.900028,0,0.404298614,0.900056,0,0.247,0.899988,0,1.518323582,0.9000345
BeyondTheNetwork,0,0,3.002,0.89999625,0,10.968496247,0.899962,0,3.752,0.90001075,0,84.615057837,0.90004
BeyondTheNetwork,1,0,3.01,0.8999751667,0,8.584283687,0.8999646667,0,3.658,0.8999852083,0,69.653445547,0.899919625
BeyondTheNetwork,2,0,3.099,0.899963,0,11.135596849,0.8999955,0,3.987,0.899972375,0,74.289523804,0.89995175
BeyondTheNetwork,3,0,3.035,0.89992,0,53.295428721,0.89995125,0,4.909,0.89996975,0,79.307841034,0.89999075
BeyondTheNetwork,4,0,2.959,0.9000005833,0,7.672756164,0.8999796667,0,3.712,0.8999585,0,82.95733108,0.900549
Bics,0,0,1.262,0.8999651667,0,2.70496056,0.8999818333,0,1.213,0.8999775,0,8.119111303,0.9000256667
Bics,1,0,0.917,0.899956,0,1.812633121,0.899998,0,1.046,0.899956,0,7.616482237,0.9000135
Bics,2,0,1.525,0.9000367917,0,2.369413193,0.9000230833,0,1.491,0.8999762917,0,10.389972985,0.899996
Bics,3,0,0.987,0.8999835,0,2.742963781,0.9000026667,0,1.135,0.9000105,0,7.386798113,0.8999588333
Bics,4,0,1.059,0.8999525,0,1.774639794,0.9000355,0,1.037,0.8999778333,0,7.362406009,0.900003
Biznet,0,0,0.371,0.899952,0,1.417933264,0.89998,0,0.582,0.8999715,0,3.893912135,0.900026
Biznet,1,0,0.425,0.8999715,0,1.309230936,0.900021,0,0.517,0.899994,0,3.215335625,0.9000315
Biznet,2,0,0.378,0.900029,0,1.140291963,0.9000225,0,0.629,0.89996,0,3.149115818,0.9000065
Biznet,3,0,0.595,0.899952,0,1.697060841,0.900003,0,0.611,0.899962,0,3.757856255,0.900025
Biznet,4,0,0.505,0.899954,0,1.307590694,0.899972,0,0.495,0.900004,0,3.414826118,0.9000265
Bren,0,0,0.267,0.8999297753,0,1.570537579,0.8999382022,0,0.572,0.8999410112,0,7.061037579,0.8999676966
Bren,1,0,0.243,0.8999564607,0,1.953054191,0.8999073034,0,0.576,0.8999311798,0,6.490065678,0.8999241573
Bren,2,0,0.25,0.8999410112,0,1.58941703,0.8999719101,0,0.63,0.8999410112,0,7.868378176,0.8999733146
Bren,3,0,0.282,0.8999199438,0,1.320741897,0.8999775281,0,0.633,0.8999269663,0,7.884026373,0.8999311798
Bren,4,0,0.305,0.899986,0,2.061285694,0.899966,0,0.662,0.899968,0,7.976717144,0.899977
BsonetEurope,0,0,0.406,0.9000264167,0,0.538233422,0.9000718333,0,0.366,0.9000596667,0,1.033614807,0.9000655833
BsonetEurope,1,0,3.165,0.9000475833,0,2.115938971,0.9000701667,0,6.007,0.9000725833,0,2.726336197,0.9000593333
BsonetEurope,2,0,0.441,0.9000406667,0,0.287222443,0.9000453333,0,0.307,0.90006,0,0.922815586,0.9000236667
BsonetEurope,3,0,0.398,0.900065,0,0.452969086,0.9000133333,0,0.479,0.9000181667,0,1.130797482,0.9000645
BsonetEurope,4,0,0.421,0.9000074167,0,0.837256853,0.90002075,0,0.515,0.9000756667,0,1.976843517,0.9000250833
BtAsiaPac,0,0,4.314,0.900081,0,11.528839186,0.9004351667,0,3.202,0.9000815,0,1.966609511,0.9000573333
BtAsiaPac,1,0,6.219,0.900068,0,2.927194791,0.9000825,0,7.398,0.900094,0,9.060690185,0.9000793333
