Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
Garr200109,0004,0,0.049,0.159,0.208,0.8999483870967743
Garr200112,0000,0,0.06,0.225,0.285,0.899890322580645
Garr200112,0001,0,0.05,0.143,0.193,0.8998645161290322
Garr200112,0002,0,0.059,0.138,0.197,0.8999677419354839
Garr200112,0003,0,0.053,0.13,0.183,0.8999096774193546
Garr200112,0004,0,0.049,0.166,0.215,0.8999290322580645
Garr200212,0000,0,0.062,0.219,0.281,0.8998290322580645
Garr200212,0001,0,0.05,0.249,0.299,0.8998774193548387
Garr200212,0002,0,0.052,0.195,0.247,0.8999086021505375
Garr200212,0003,0,0.049,0.153,0.202,0.8998150537634404
Garr200212,0004,0,0.052,0.133,0.185,0.8997999999999998
Garr200404,0000,0,0.056,0.138,0.194,0.8999870967741935
Garr200404,0001,0,0.054,0.125,0.179,0.8999612903225805
Garr200404,0002,0,0.048,0.232,0.28,0.8999419354838709
Garr200404,0003,0,0.057,0.799,0.856,0.8999806451612903
Garr200404,0004,0,0.045,0.175,0.22,0.8999999999999999
Garr200902,0000,0,0.276,5.837,6.113,0.9001096000000001
