Topology,DemandFile,Preprocessing time,ILP solve time,Total  time,uMax
Cogentco,0004,0.562,551.336,551.898,0.898544
Colt,0000,0.162,123.137,123.299,0.898681
Colt,0001,0.162,120.693,120.855,0.898636
Colt,0002,0.163,124.511,124.674,0.898775
Colt,0003,0.163,119.281,119.444,0.89864
Colt,0004,0.169,117.98,118.149,0.898713
Columbus,0000,0.041,10.879,10.92,0.899809
Columbus,0001,0.042,8.997,9.039,0.899731
Columbus,0002,0.036,9.729,9.765,0.899745
Columbus,0003,0.035,9.064,9.099,0.89974
Columbus,0004,0.038,9.692,9.73,0.899761
Compuserve,0000,0.001,0.957,0.958,0.899955555555555
Compuserve,0001,0.001,0.279,0.28,0.8999111111111111
Compuserve,0002,0.001,0.352,0.353,0.9127333333333333
Compuserve,0003,0.002,0.191,0.193,0.9533555555555553
Compuserve,0004,0.002,0.118,0.12,0.9736666666666667
CrlNetworkServices,0000,0.025,0.807,0.832,0.8991777777777777
CrlNetworkServices,0001,0.023,0.897,0.92,0.8987111111111108
CrlNetworkServices,0002,0.026,0.986,1.012,0.8987333333333326
CrlNetworkServices,0003,0.006,0.796,0.802,0.8986
CrlNetworkServices,0004,0.027,0.748,0.775,0.8986666666666666
Cudi,0000,0.03,1.397,1.427,0.8998870833333332
Cudi,0001,0.024,1.575,1.599,0.8999529166666667
Cudi,0002,0.023,1.403,1.426,0.8998883333333333
Cudi,0003,0.025,1.496,1.521,0.8998845833333333
Cudi,0004,0.033,1.408,1.441,0.8998883333333332
Cwix,0000,0.028,0.812,0.84,0.8988222222222216
Cwix,0001,0.008,1.001,1.009,0.8989555555555555
Cwix,0002,0.028,0.879,0.907,0.8989111111111111
Cwix,0003,0.03,0.874,0.904,0.8988222222222222
Cwix,0004,0.008,0.739,0.747,0.8989333333333334
Cynet,0000,0.009,0.362,0.371,0.8994971804511278
Cynet,0001,0.006,0.424,0.43,0.8994501879699248
Cynet,0002,0.01,0.339,0.349,0.8994736842105263
Cynet,0003,0.01,0.392,0.402,0.8995112781954887
Cynet,0004,0.01,0.362,0.372,0.8994736842105263
Darkstrand,0000,0.018,0.498,0.516,0.899992
Darkstrand,0001,0.019,0.542,0.561,0.89995
Darkstrand,0002,0.017,0.565,0.582,0.899979
Darkstrand,0003,0.018,0.535,0.553,0.899956
Darkstrand,0004,0.019,0.543,0.562,0.900013
Dataxchange,0000,0.0,0.042,0.042,1.0392666666666666
Dataxchange,0001,0.0,0.039,0.039,1.0802222222222222
Dataxchange,0002,0.0,0.039,0.039,1.2024
Dataxchange,0003,0.0,0.036,0.036,0.8999333333333334
Dataxchange,0004,0.0,0.041,0.041,1.432511111111111
Deltacom,0000,0.091,72.932,73.023,0.995812
Deltacom,0001,0.089,63.934,64.023,1.0214299999999998
Deltacom,0002,0.088,64.5,64.588,0.899667
Deltacom,0003,0.099,65.077,65.176,1.095127
Deltacom,0004,0.089,60.988,61.077,1.103633
DeutscheTelekom,0000,0.021,0.9,0.921,0.900055
DeutscheTelekom,0001,0.024,0.581,0.605,0.899957
DeutscheTelekom,0002,0.024,0.489,0.513,0.899957
DeutscheTelekom,0003,0.006,0.618,0.624,0.899961
DeutscheTelekom,0004,0.005,0.673,0.678,0.89996
Dfn,0000,0.057,2.931,2.988,0.900012
Dfn,0001,0.032,11.66,11.692,0.925987
Dfn,0002,0.032,6.565,6.597,0.977595
Dfn,0003,0.038,6.099,6.137,0.958005
Dfn,0004,0.028,5.158,5.186,0.967267
DialtelecomCz,0000,0.14,132.308,132.448,0.899273
DialtelecomCz,0001,0.127,138.542,138.669,0.8992629999999999
DialtelecomCz,0002,0.14,136.691,136.831,0.899289
DialtelecomCz,0003,0.129,137.456,137.585,0.899292
DialtelecomCz,0004,0.136,138.43,138.566,0.899236
Digex,0000,0.006,0.629,0.635,0.8989333333333334
Digex,0001,0.01,0.599,0.609,0.8988222222222222
Digex,0002,0.005,0.666,0.671,0.8988444444444444
Digex,0003,0.026,0.67,0.696,0.8987777777777778
Digex,0004,0.027,0.704,0.731,0.8988
Easynet,0000,0.014,0.231,0.245,0.899977
Easynet,0001,0.016,0.246,0.262,0.899976
Easynet,0002,0.016,0.265,0.281,0.900005
Easynet,0003,0.016,0.264,0.28,0.8999780000000001
Easynet,0004,0.015,0.321,0.336,0.900015
Eenet,0000,0.001,0.071,0.072,1.907983
Eenet,0001,0.001,0.069,0.07,1.907977
Eenet,0002,0.001,0.069,0.07,1.907978
Eenet,0003,0.001,0.069,0.07,1.90798
Eenet,0004,0.001,0.07,0.071,1.907982
EliBackbone,0000,0.016,0.29,0.306,0.900051
EliBackbone,0001,0.016,0.382,0.398,0.900043
EliBackbone,0002,0.016,0.485,0.501,0.9000589999999999
EliBackbone,0003,0.016,1.38,1.396,0.900053
EliBackbone,0004,0.016,0.335,0.351,0.900055
Epoch,0000,0.001,0.034,0.035,1.073022222222222
Epoch,0001,0.0,0.037,0.037,0.9148000000000001
Epoch,0002,0.0,0.037,0.037,0.9212444444444444
Epoch,0003,0.001,0.035,0.036,1.035022222222222
Epoch,0004,0.0,0.037,0.037,0.9382444444444444
Ernet,0000,0.005,0.465,0.47,0.8999510000000001
Ernet,0001,0.005,0.413,0.418,0.899946
Ernet,0002,0.026,0.447,0.473,0.899949
Ernet,0003,0.005,0.436,0.441,0.899947
Ernet,0004,0.014,0.448,0.462,0.8999489999999999
Esnet,0000,0.035,5.411,5.446,1.311559826658204
Esnet,0001,0.037,5.073,5.11,1.3114584
Esnet,0002,0.035,5.305,5.34,1.3115774108180127
Esnet,0003,0.041,5.081,5.122,1.3115123019019646
Esnet,0004,0.035,5.088,5.123,1.3115362
Eunetworks,0000,0.001,0.124,0.125,0.900028
Eunetworks,0001,0.001,0.126,0.127,0.900044
Eunetworks,0002,0.001,0.133,0.134,0.900018
Eunetworks,0003,0.001,0.134,0.135,0.9000179999999997
Eunetworks,0004,0.001,0.125,0.126,0.9000689999999999
Evolink,0000,0.027,0.784,0.811,0.899949
Evolink,0001,0.026,0.794,0.82,0.899956
Evolink,0002,0.029,0.871,0.9,0.899938
Evolink,0003,0.022,0.748,0.77,0.900003
Evolink,0004,0.03,0.806,0.836,0.8999510000000001
Fatman,0000,0.018,0.139,0.157,0.899978
Fatman,0001,0.018,0.147,0.165,0.8999769999999998
Fatman,0002,0.018,0.139,0.157,0.899971
Fatman,0003,0.018,0.145,0.163,0.899973
Fatman,0004,0.018,0.141,0.159,0.8999729999999999
Fccn,0000,0.019,0.302,0.321,0.900021
Fccn,0001,0.021,0.268,0.289,0.899969
Fccn,0002,0.015,0.286,0.301,0.899988
Fccn,0003,0.016,0.273,0.289,0.899987
Fccn,0004,0.016,0.293,0.309,0.900042
Forthnet,0000,0.023,2.113,2.136,0.8999888888888888
Forthnet,0001,0.052,2.201,2.253,0.8999883888888889
Forthnet,0002,0.043,2.169,2.212,0.8999891111111111
Forthnet,0003,0.052,2.168,2.22,0.8999876111111111
Forthnet,0004,0.027,2.192,2.219,0.8999896111111111
Funet,0000,0.019,0.482,0.501,0.900025
Funet,0001,0.018,0.6,0.618,0.900019
Funet,0002,0.019,0.456,0.475,0.900035
Funet,0003,0.018,0.442,0.46,0.899973
Funet,0004,0.018,0.464,0.482,0.90004
Gambia,0000,0.016,0.348,0.364,0.89968
Gambia,0001,0.016,0.352,0.368,0.89965
Gambia,0002,0.017,0.346,0.363,0.89968
Gambia,0003,0.016,0.346,0.362,0.899655
Gambia,0004,0.015,0.339,0.354,0.89966
Garr199901,0000,0.001,0.19,0.191,0.900059
Garr199901,0001,0.001,0.689,0.69,0.900084
Garr199901,0002,0.001,0.159,0.16,0.9000239999999999
