Topology,DemandFile,ExitCode,PreprocessingTime,ILPTime,TotalTime,uMax
EliBackbone,0002,0,0.044,6.79,6.834,0.9000229166666667
EliBackbone,0003,0,0.032,9.363,9.395,0.9000635
EliBackbone,0004,0,0.035,5.854,5.889,0.8999910833333333
Epoch,0000,0,0.006,0.058,0.064,0.9926666666666667
Epoch,0001,0,0.005,0.371,0.376,0.9
Epoch,0002,0,0.005,1.928,1.933,0.9000888888888878
Epoch,0003,0,0.006,0.156,0.162,0.9000111111111111
Epoch,0004,0,0.005,2.17,2.175,0.9001888888888889
Ernet,0000,0,0.06,9.411,9.471,0.899951
Ernet,0001,0,0.063,9.35,9.413,0.899946
Ernet,0002,0,0.066,9.52,9.586,0.899949
Ernet,0003,0,0.06,9.562,9.622,0.899947
Ernet,0004,0,0.063,9.461,9.524,0.899949
Esnet,0000,1,1.118,1961.126,1962.244,11.2832
Esnet,0001,1,1.081,2019.561,2020.642,6.633725881576538
Esnet,0002,1,1.172,1963.578,1964.75,9.349318
Esnet,0003,1,1.095,1963.415,1964.51,7.941864
Esnet,0004,1,1.085,2012.351,2013.436,6.464745998382568
Eunetworks,0000,0,0.02,0.498,0.518,0.9000555
Eunetworks,0001,0,0.022,0.483,0.505,0.9000019999999999
Eunetworks,0002,0,0.025,0.508,0.533,0.9000423333333333
Eunetworks,0003,0,0.02,0.535,0.555,0.9000355
Eunetworks,0004,0,0.023,0.547,0.57,0.9000021666666668
Evolink,0000,0,0.122,27.612,27.734,0.899986
Evolink,0001,0,0.123,28.35,28.473,0.8999415
Evolink,0002,0,0.127,28.726,28.853,0.89993875
Evolink,0003,0,0.123,27.061,27.184,0.899943
Evolink,0004,0,0.139,27.29,27.429,0.8999245
Fatman,0000,0,0.02,0.853,0.873,0.899978
Fatman,0001,0,0.022,0.887,0.909,0.899977
Fatman,0002,0,0.024,0.856,0.88,0.899971
Fatman,0003,0,0.02,0.864,0.884,0.899973
Fatman,0004,0,0.02,0.906,0.926,0.899973
Fccn,0000,0,0.04,2.684,2.724,0.900047
Fccn,0001,0,0.04,2.742,2.782,0.899969
Fccn,0002,0,0.04,2.69,2.73,0.899988
Fccn,0003,0,0.039,2.72,2.759,0.899986
Fccn,0004,0,0.04,2.847,2.887,0.899973
Forthnet,0000,0,0.807,527.475,528.282,0.9001106111111111
Forthnet,0001,0,0.798,496.628,497.426,0.8999883888888889
Forthnet,0002,0,0.771,515.654,516.425,0.8999891111111111
Forthnet,0003,0,0.798,521.986,522.784,0.8999876111111111
Forthnet,0004,0,0.766,620.871,621.637,0.9000793333333333
Funet,0000,0,0.06,8.321,8.381,0.8999585
Funet,0001,0,0.084,8.218,8.302,0.9000255
Funet,0002,0,0.05,8.053,8.103,0.9000395
Funet,0003,0,0.05,7.958,8.008,0.900013
Funet,0004,0,0.062,7.884,7.946,0.899964
Gambia,0000,0,0.046,6.259,6.305,0.89968
Gambia,0001,0,0.048,6.605,6.653,0.89965
Gambia,0002,0,0.05,6.175,6.225,0.89968
Gambia,0003,0,0.049,6.602,6.651,0.899655
Gambia,0004,0,0.059,6.673,6.732,0.89966
Garr199901,0000,0,0.023,0.699,0.722,0.900076
Garr199901,0001,0,0.018,1.188,1.206,0.900064
Garr199901,0002,0,0.019,0.769,0.788,0.9000389999999999
Garr199901,0003,0,0.022,0.947,0.969,0.900014
Garr199901,0004,0,0.016,0.85,0.866,0.900079
Garr199904,0000,0,0.04,2.398,2.438,0.8999612903225807
Garr199904,0001,0,0.039,2.272,2.311,0.8999096774193549
Garr199904,0002,0,0.04,2.37,2.41,0.8999290322580636
Garr199904,0003,0,0.041,2.269,2.31,0.8999806451612904
Garr199904,0004,0,0.053,2.509,2.562,0.8999677419354839
Garr199905,0000,0,0.041,2.979,3.02,0.8999677419354839
Garr199905,0001,0,0.039,2.386,2.425,0.8999677419354839
Garr199905,0002,0,0.041,2.482,2.523,0.8999483870967742
Garr199905,0003,0,0.038,2.637,2.675,0.8999612903225805
Garr199905,0004,0,0.041,2.493,2.534,0.8999548387096774
Garr200109,0000,0,0.038,1.899,1.937,0.8999612903225807
Garr200109,0001,0,0.038,1.99,2.028,0.8999225806451613
Garr200109,0002,0,0.037,1.992,2.029,0.8999677419354839
Garr200109,0003,0,0.038,2.026,2.064,0.8999225806451612
Garr200109,0004,0,0.042,2.158,2.2,0.8999677419354839
Garr200112,0000,0,0.042,2.787,2.829,0.8999483870967742
Garr200112,0001,0,0.041,2.769,2.81,0.8998838709677419
Garr200112,0002,0,0.041,2.782,2.823,0.8999741935483871
Garr200112,0003,0,0.041,2.751,2.792,0.8999290322580645
Garr200112,0004,0,0.042,2.762,2.804,0.899916129032258
Garr200212,0000,0,0.054,4.727,4.781,0.8998774193548387
Garr200212,0001,0,0.044,5.061,5.105,0.8998365591397847
Garr200212,0002,0,0.045,4.842,4.887,0.8999247311827957
Garr200212,0003,0,0.058,4.814,4.872,0.8998817204301073
Garr200212,0004,0,0.044,4.671,4.715,0.8998215053763441
Garr200404,0000,0,0.039,1.873,1.912,0.8999419354838709
