Topology,DemandFile,Exit code,Total  time,pre-uMax,post-uMax
Cesnet200304,0001,0,1.088260893,1.2472796,0.8999583333333333
Cesnet200304,0002,0,1.160893784,1.2539148,0.900038
Cesnet200304,0003,0,1.143218176,1.1600684,0.900056
Cesnet200304,0004,0,1.159981249,1.1423928,0.8999533333333334
Cesnet200511,0000,0,1.794721064,1.2846136542231985,0.9000446
Cesnet200511,0001,0,2.249406301,1.7667957873254292,0.9000224
Cesnet200511,0002,0,3.436309024,1.945118593797022,0.9000015
Cesnet200511,0003,0,2.85624938,1.792963074868874,0.9000578
Cesnet200511,0004,0,2.528308619,1.2709561743617392,0.9000306970646007
Cesnet200603,0000,0,2.2179482,1.9178591179629694,0.9000072
Cesnet200603,0001,0,2.669997811,1.1795198,0.899922
Cesnet200603,0002,0,2.142719579,1.7879725402996973,0.9000218
Cesnet200603,0003,0,2.364737771,1.551990514667347,0.9000397433508288
Cesnet200603,0004,0,2.260187977,2.2697813633235815,0.8999903
Cesnet200706,0000,0,3.599110889,2.0310029912565284,0.8999860207390297
Cesnet200706,0001,0,2.417258983,2.3009951881682675,0.900002
Cesnet200706,0002,0,3.069825525,2.1404624583784404,0.9000224
Cesnet200706,0003,0,3.811599451,2.2026920872585034,0.9000258212870341
Cesnet200706,0004,0,3.143289032,2.0275641148663444,0.9000144
Cesnet201006,0000,0,3.789451366,2.1718849290034123,0.8999906894725408
Cesnet201006,0001,0,4.192436747,2.2618712404929595,0.8999713561368332
Cesnet201006,0002,0,7.415546871,2.0829707272946507,0.900027702634981
Cesnet201006,0003,0,6.251327067,2.1447186668952747,0.8999928941511742
Cesnet201006,0004,0,4.013231009,2.2037613174209807,0.8999566017490563
Chinanet,0000,0,14.574469627,1.67141275,0.900019375
Chinanet,0001,0,1054.851171936,2.072374925,1.0084203333333335
Chinanet,0002,0,36.356944245,2.58470875,0.8999895
Chinanet,0003,0,23.463526918,2.10755575,0.9000615
Chinanet,0004,0,117.041172666,2.7912255,0.95462775
Claranet,0000,0,0.407244429,1.211927,0.900058
Claranet,0001,0,0.246487432,1.3116705,0.9000405
Claranet,0002,0,0.220866625,1.528764,0.9000425
Claranet,0003,0,0.413277981,1.1580415,0.900046
Claranet,0004,0,0.179026006,1.3471415,0.900019
Cogentco,0000,1,1818.797310404,1.6349348958333332,1.6349348958333332
Cogentco,0001,1,1819.75344093,1.701552875,1.701552875
Cogentco,0002,1,1819.173015103,1.73250228125,1.73250228125
Cogentco,0003,1,1819.864061932,1.7316863125,1.7316863125
Cogentco,0004,1,1819.025666506,1.5546565,1.5546565
Colt,0000,0,279.452730943,1.3956798333333333,0.898647
Colt,0001,0,966.381443261,1.3935676666666665,0.8986426666666667
Colt,0002,0,953.661409305,1.4992882499999998,0.898828
Colt,0003,0,623.958258463,1.40006275,0.89866525
Colt,0004,0,449.691583869,1.3262250833333336,0.8986765
Columbus,0000,0,51.741938384,1.1790323333333332,0.8997413333333334
Columbus,0001,0,26.778972747,1.1835524166666667,0.899769
Columbus,0002,0,106.24789893,1.1888399166666666,0.899735
Columbus,0003,0,72.267355636,1.1618105,0.899746
Columbus,0004,0,149.638067273,1.13419525,0.8997755833333334
Compuserve,0000,0,0.360445569,1.8472666666666666,0.8999277777777778
Compuserve,0001,0,25.411780734,1.4976055555555556,0.8999111111111111
Compuserve,0002,1,1803.436820611,1.4103222222222223,0.9000888888888889
Compuserve,0003,0,3.767394541,1.5543555555555555,0.8998888888888888
