Topology,DemandFile,Exit code,Preprocessing time,ILP solve time,Total  time,uMax
Ernet,0003,0,0.104,0.267,0.371,0.899947
Ernet,0004,0,0.104,0.256,0.36,0.899949
Esnet,0000,0,1.349,9.495,10.844,1.3116113
Esnet,0001,0,1.349,9.082,10.431000000000001,1.3115699
Esnet,0002,0,1.349,9.181,10.53,1.3114368
Esnet,0003,0,1.349,8.438,9.787,1.311444579124323
Esnet,0004,0,1.349,9.036,10.385,1.3115858
Eunetworks,0000,0,0.045,0.281,0.326,0.899998
Eunetworks,0001,0,0.045,0.21,0.255,0.900068
Eunetworks,0002,0,0.045,0.203,0.248,0.899992
Eunetworks,0003,0,0.045,0.238,0.283,0.900007
Eunetworks,0004,0,0.045,0.248,0.293,0.899998
Evolink,0000,0,0.281,0.997,1.278,0.899935
Evolink,0001,0,0.281,0.993,1.274,0.89994
Evolink,0002,0,0.281,1.109,1.3900000000000001,0.899976
Evolink,0003,0,0.281,1.197,1.4780000000000002,0.899928
Evolink,0004,0,0.281,1.246,1.5270000000000001,0.899983
Fatman,0000,0,0.051,0.189,0.24,0.899978
Fatman,0001,0,0.051,0.158,0.209,0.899977
Fatman,0002,0,0.051,0.159,0.21,0.899971
Fatman,0003,0,0.051,0.17,0.221,0.899973
Fatman,0004,0,0.051,0.16,0.211,0.899973
Fccn,0000,0,0.048,0.176,0.22399999999999998,0.900058
Fccn,0001,0,0.048,0.186,0.23399999999999999,0.899969
Fccn,0002,0,0.048,0.144,0.192,0.900026
Fccn,0003,0,0.048,0.126,0.174,0.8999889999999999
Fccn,0004,0,0.048,0.216,0.264,0.900003
Forthnet,0000,0,0.148,0.146,0.294,0.8999888888888888
Forthnet,0001,0,0.148,0.143,0.291,0.8999883888888889
Forthnet,0002,0,0.148,0.193,0.34099999999999997,0.8999891111111111
Forthnet,0003,0,0.148,0.212,0.36,0.8999876111111111
Forthnet,0004,0,0.148,0.165,0.313,0.8999896111111111
Funet,0000,0,0.148,0.646,0.794,0.900025
Funet,0001,0,0.148,0.702,0.85,0.8999780000000001
Funet,0002,0,0.148,0.635,0.783,0.899992
Funet,0003,0,0.148,0.61,0.758,0.9000109999999999
Funet,0004,0,0.148,0.774,0.922,0.900004
Gambia,0000,0,0.062,0.108,0.16999999999999998,0.89968
Gambia,0001,0,0.062,0.1,0.162,0.8996500000000001
Gambia,0002,0,0.062,0.093,0.155,0.89968
Gambia,0003,0,0.062,0.098,0.16,0.899655
Gambia,0004,0,0.062,0.094,0.156,0.89966
Garr199901,0000,0,0.034,0.221,0.255,0.900029
Garr199901,0001,0,0.034,0.463,0.497,0.900075
Garr199901,0002,0,0.034,0.172,0.206,0.9000630000000001
Garr199901,0003,0,0.034,0.163,0.197,0.900046
Garr199901,0004,0,0.034,0.225,0.259,0.900043
Garr199904,0000,0,0.044,0.173,0.21699999999999997,0.8999677419354838
Garr199904,0001,0,0.044,0.291,0.33499999999999996,0.8999870967741935
Garr199904,0002,0,0.044,0.203,0.247,0.8999225806451613
Garr199904,0003,0,0.044,0.197,0.241,0.8999870967741912
Garr199904,0004,0,0.044,0.177,0.22099999999999997,0.8999096774193548
Garr199905,0000,0,0.043,0.577,0.62,0.899974193548387
Garr199905,0001,0,0.043,0.169,0.21200000000000002,0.8999225806451613
Garr199905,0002,0,0.043,0.188,0.23099999999999998,0.8999548387096774
Garr199905,0003,0,0.043,0.408,0.45099999999999996,0.8999806451612903
Garr199905,0004,0,0.043,0.218,0.261,0.8999806451612903
Garr200109,0000,0,0.038,0.264,0.302,0.8999548387096774
Garr200109,0001,0,0.038,0.154,0.192,0.8999419354838709
Garr200109,0002,0,0.038,0.225,0.263,0.9
Garr200109,0003,0,0.038,0.147,0.185,0.8999290322580644
Garr200109,0004,0,0.038,0.198,0.23600000000000002,0.8999483870967743
Garr200112,0000,0,0.053,0.201,0.254,0.899890322580645
Garr200112,0001,0,0.053,0.263,0.316,0.8998645161290322
Garr200112,0002,0,0.053,0.206,0.259,0.8999677419354839
Garr200112,0003,0,0.053,0.161,0.214,0.8999096774193546
Garr200112,0004,0,0.053,0.242,0.295,0.8999290322580645
Garr200212,0000,0,0.057,0.146,0.20299999999999999,0.8998387096774193
