Topology,DemandFile,2-SR_preprocTime,3-SR_preprocTime,2-SR_paths,3-SR_paths
Garr199901,0003,0.033,0.032,631,1018
Garr199901,0004,0.037,0.037,605,863
Garr199904,0004,0.05,0.052,1310,2108
Garr199905,0004,0.05,0.053,1311,2111
Garr200109,0001,0.037,0.049,1184,1901
Garr200109,0003,0.041,0.045,1188,1906
Garr200109,0004,0.047,0.051,1187,1904
Garr200112,0003,0.067,0.05,1416,2274
Garr200212,0001,0.061,0.059,1652,2322
Garr200212,0002,0.06,0.062,1693,2345
Garr200212,0004,0.059,0.062,1662,2322
Garr200404,0002,0.045,0.048,1073,1335
Garr200902,0000,0.217,0.494,21732,91954
Garr200902,0001,0.217,0.53,21599,93179
Garr200902,0002,0.23,0.593,20627,92243
Garr200902,0003,0.199,0.508,19814,85150
Garr200902,0004,0.21,0.523,22547,98692
Garr200908,0000,0.194,0.562,22369,99904
Garr200908,0001,0.271,0.692,25371,130805
Garr200908,0002,0.223,0.51,22048,94182
Garr200908,0003,0.215,0.433,19851,81898
Garr200908,0004,0.249,0.518,22324,94029
Garr200909,0000,0.196,0.522,23597,100652
Garr200909,0001,0.215,0.368,18881,71993
Garr200909,0002,0.224,0.524,23261,96721
Garr200909,0003,0.206,0.479,21966,91900
Garr200909,0004,0.215,0.513,23224,103315
Garr200912,0000,0.212,0.489,21223,98918
Garr200912,0001,0.218,0.461,22190,98070
Garr200912,0002,0.187,0.415,19402,80424
Garr200912,0003,0.21,0.389,17584,64634
Garr200912,0004,0.27,0.545,23914,115555
Garr201001,0000,0.217,0.552,22452,100516
Garr201001,0001,0.196,0.582,23253,106322
Garr201001,0002,0.212,0.593,24052,117839
Garr201001,0003,0.201,0.519,22267,103002
Garr201001,0004,0.178,0.356,19674,72247
Garr201003,0000,0.215,0.482,22276,92459
Garr201003,0001,0.22,0.583,22502,98436
Garr201003,0002,0.27,0.532,21251,94795
Garr201003,0003,0.217,0.503,21091,90021
Garr201003,0004,0.192,0.577,21545,89650
Garr201004,0000,0.233,0.597,22729,105590
Garr201004,0001,0.194,0.517,21583,96872
Garr201004,0002,0.236,0.524,22121,103044
Garr201004,0003,0.193,0.445,18484,76844
Garr201004,0004,0.246,0.522,21312,93212
Garr201005,0000,0.233,0.514,21984,88583
Garr201005,0001,0.25,0.571,23081,101978
Garr201005,0002,0.266,0.539,23456,107703
Garr201005,0003,0.235,0.678,25321,124503
Garr201005,0004,0.246,0.656,24909,121830
Garr201007,0000,0.23,0.541,21607,93315
Garr201007,0001,0.235,0.513,22316,95143
Garr201007,0002,0.249,0.551,23637,101750
Garr201007,0003,0.223,0.514,22808,95784
Garr201007,0004,0.283,0.747,25557,133371
Garr201008,0000,0.24,0.478,21427,86776
Garr201008,0001,0.232,0.572,22258,106019
Garr201008,0002,0.22,0.47,20573,74088
Garr201008,0003,0.225,0.529,20895,87756
Garr201008,0004,0.226,0.504,22100,95422
Garr201010,0000,0.245,0.597,24010,108256
Garr201010,0001,0.247,0.576,24487,112662
Garr201010,0002,0.225,0.5,22498,99891
Garr201010,0003,0.232,0.543,24064,110845
Garr201010,0004,0.263,0.506,22668,91938
