Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Garr200109,0001,0.096,0.101,0.133,0.15000000000000002,0.8999569892473117,0.8999419354838709
EliBackbone,0002,0.616,7.783,0.666,8.044,0.9000703333333332,0.9000474166666667
Garr200109,0003,0.088,0.163,0.129,0.20800000000000002,0.8999451612903225,0.8999548387096774
Garr200109,0004,0.107,0.163,0.154,0.214,0.8999548387096774,0.8999354838709676
Epoch,0000,0.075,0.131,0.092,0.164,0.9926666666666667,0.9926666666666666
Epoch,0001,0.078,0.187,0.095,0.22,0.8999777777777778,0.8999944444444444
Epoch,0002,0.497,2.609,0.514,2.642,0.9000888888888888,0.9000888888888889
Garr200112,0003,0.136,0.187,0.203,0.237,0.8999118279569893,0.8998967741935484
Epoch,0004,0.515,1.468,0.532,1.501,0.9001888888888889,0.9001888888888889
Ernet,0000,0.22,0.449,0.28700000000000003,0.553,0.899951,0.899951
Garr200212,0001,0.144,0.141,0.205,0.19999999999999998,0.8998838709677419,0.899858064516129
Garr200212,0002,0.129,0.192,0.189,0.254,0.8999483870967743,0.8999258064516128
Ernet,0003,0.319,0.495,0.386,0.599,0.899947,0.899947
Garr200212,0004,0.081,0.132,0.14,0.194,0.8997806451612903,0.8997806451612903
Esnet,0000,8.252,62.523,9.146,64.01100000000001,0.9003496158692765,0.9003595
Esnet,0001,3.896,61.137,4.79,62.625,0.9002401901180347,0.9001609
Garr200404,0002,0.103,0.168,0.148,0.21600000000000003,0.899935483870968,0.899948387096774
Esnet,0003,5.684,48.949,6.578,50.437,0.900271088212228,0.9002194
Esnet,0004,4.916,38.229,5.8100000000000005,39.717,0.9001891,0.9002462495244554
Garr200902,0000,1.284,8.926,1.5010000000000001,9.42,0.900162,0.9001724
Garr200902,0001,1.4,6.088,1.617,6.618,0.899908,0.8999079999999953
Garr200902,0002,1.051,8.852,1.281,9.445,0.9000768,0.9000504
Garr200902,0003,0.594,3.91,0.7929999999999999,4.418,0.899902,0.899902
Garr200902,0004,1.455,15.457,1.665,15.98,0.9005621071695556,0.9009085968012632
Garr200908,0000,2.024,6.033,2.218,6.595000000000001,0.9000375999999999,0.9000368
Garr200908,0001,1.914,14.249,2.185,14.941,0.9000341,0.9000262
Garr200908,0002,1.676,10.505,1.899,11.015,0.9107176,0.9108562941912897
Garr200908,0003,1.637,12.124,1.852,12.557,0.9000114,0.9000534
Garr200908,0004,0.835,5.723,1.084,6.241,0.8999153846153846,0.8999153846153846
