Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_umax,3-SR_umax
EliBackbone,0000,0.372,5.627,0.9000648333333332,0.900026
EliBackbone,0001,0.497,4.618,0.900055125,0.9000468333333334
EliBackbone,0002,0.714,6.834,0.9000478333333334,0.9000229166666667
EliBackbone,0003,0.589,9.395,0.9000755,0.9000635
EliBackbone,0004,0.476,5.889,0.9000526666666666,0.8999910833333333
Epoch,0000,0.042,0.064,0.9926666666666667,0.9926666666666667
Epoch,0001,0.126,0.376,0.9000277777777778,0.9
Epoch,0002,0.424,1.933,0.9000888888888889,0.9000888888888878
Epoch,0003,0.211,0.162,0.9000555555555555,0.9000111111111111
Epoch,0004,0.389,2.175,0.9001888888888889,0.9001888888888889
Ernet,0000,0.488,9.471,0.899951,0.899951
Ernet,0001,0.604,9.413,0.899946,0.899946
Ernet,0002,0.495,9.586,0.899949,0.899949
Ernet,0003,0.451,9.622,0.899947,0.899947
Ernet,0004,0.43,9.524,0.899949,0.899949
Esnet,0000,6.611,1962.244,0.9002421,11.2832
Esnet,0001,6.492,2020.642,0.900084902977022,6.633725881576538
Esnet,0002,6.453,1964.75,0.9002654999999998,9.349318
Esnet,0003,6.317,1964.51,0.9002988999999999,7.941864
Esnet,0004,6.281,2013.436,0.9001049,6.464745998382568
Eunetworks,0000,0.201,0.518,0.9000525,0.9000555
Eunetworks,0001,0.124,0.505,0.9000416666666667,0.9000019999999999
Eunetworks,0002,0.18,0.533,0.9000338333333333,0.9000423333333333
Eunetworks,0003,0.113,0.555,0.9000235,0.9000355
Eunetworks,0004,0.129,0.57,0.9000071666666666,0.9000021666666668
Evolink,0000,0.877,27.734,0.899936,0.899986
Evolink,0001,1.061,28.473,0.89998675,0.8999415
Evolink,0002,1.119,28.853,0.8999385,0.89993875
Evolink,0003,0.921,27.184,0.89997025,0.899943
Evolink,0004,1.09,27.429,0.89996925,0.8999245
Fatman,0000,0.167,0.873,0.899978,0.899978
Fatman,0001,0.181,0.909,0.899977,0.899977
Fatman,0002,0.11,0.88,0.899971,0.899971
Fatman,0003,0.168,0.884,0.899973,0.899973
Fatman,0004,0.148,0.926,0.899973,0.899973
Fccn,0000,0.22,2.724,0.899981,0.900047
Fccn,0001,0.243,2.782,0.899969,0.899969
Fccn,0002,0.239,2.73,0.900053,0.899988
Fccn,0003,0.242,2.759,0.900057,0.899986
Fccn,0004,0.26,2.887,0.899985,0.899973
Forthnet,0000,2.325,528.282,0.8999888888888888,0.9001106111111111
Forthnet,0001,2.351,497.426,0.8999883888888889,0.8999883888888889
Forthnet,0002,2.23,516.425,0.8999891111111111,0.8999891111111111
Forthnet,0003,2.331,522.784,0.8999876111111111,0.8999876111111111
Forthnet,0004,2.35,621.637,0.8999896111111111,0.9000793333333333
Funet,0000,0.473,8.381,0.8999794999999999,0.8999585
Funet,0001,0.395,8.302,0.899971,0.9000255
Funet,0002,0.377,8.103,0.899978,0.9000395
Funet,0003,0.483,8.008,0.900018,0.900013
Funet,0004,0.481,7.946,0.9000265,0.899964
Gambia,0000,0.245,6.305,0.89968,0.89968
Gambia,0001,0.278,6.653,0.89965,0.89965
Gambia,0002,0.24,6.225,0.89968,0.89968
Gambia,0003,0.329,6.651,0.899655,0.899655
Gambia,0004,0.329,6.732,0.89966,0.89966
Garr199901,0000,0.245,0.722,0.900047,0.900076
Garr199901,0001,0.822,1.206,0.90005,0.900064
Garr199901,0002,0.216,0.788,0.9,0.9000389999999999
Garr199901,0003,0.173,0.969,0.900079,0.900014
Garr199901,0004,0.154,0.866,0.900062,0.900079
Garr199904,0000,0.255,2.438,0.8999483870967743,0.8999612903225807
Garr199904,0001,0.269,2.311,0.8999483870967742,0.8999096774193549
Garr199904,0002,0.203,2.41,0.899941935483871,0.8999290322580636
Garr199904,0003,0.258,2.31,0.8999806451612903,0.8999806451612904
Garr199904,0004,0.28,2.562,0.8999612903225807,0.8999677419354839
Garr199905,0000,0.711,3.02,0.8999806451612904,0.8999677419354839
Garr199905,0001,0.36,2.425,0.8999548387096774,0.8999677419354839
Garr199905,0002,0.227,2.523,0.8999677419354839,0.8999483870967742
Garr199905,0003,0.721,2.675,0.8999741935483871,0.8999612903225805
Garr199905,0004,0.218,2.534,0.8999225806451613,0.8999548387096774
Garr200109,0000,0.183,1.937,0.8999677419354839,0.8999612903225807
Garr200109,0001,0.181,2.028,0.8999354838709678,0.8999225806451613
Garr200109,0002,0.305,2.029,0.9,0.8999677419354839
Garr200109,0003,0.235,2.064,0.8999032258064517,0.8999225806451612
