Topology,DemandFile,2-SR_SolveTime,3-SR_SolveTime,2-SR_TotalTime,3-SR_TotalTime,2-SR_umax,3-SR_umax
Belnet2009,0003,0.264,1.105,0.308,1.2309999999999999,0.899985,0.900031
Belnet2009,0004,0.279,0.829,0.323,0.955,0.8999823333333331,0.9000313333333332
Belnet2010,0000,0.304,0.744,0.349,0.842,0.900010666666666,0.9000229333333334
Belnet2010,0001,0.249,0.684,0.294,0.782,0.9000363333333332,0.9000283333333333
Belnet2010,0002,0.299,0.99,0.344,1.088,0.900064,0.900004
Belnet2010,0003,0.204,0.768,0.249,0.866,0.9000315,0.9000549999999999
Belnet2010,0004,0.204,0.765,0.249,0.863,0.900028,0.900056
BeyondTheNetwork,0000,2.787,53.981,3.002,56.211,0.89999625,0.8999887499999999
BeyondTheNetwork,0001,2.795,33.354,3.01,35.583999999999996,0.8999751666666667,0.8999690833333333
BeyondTheNetwork,0002,2.884,45.154,3.0989999999999998,47.384,0.899963,0.89999925
BeyondTheNetwork,0003,2.82,28.995,3.0349999999999997,31.225,0.89992,0.899994375
BeyondTheNetwork,0004,2.744,54.031,2.959,56.260999999999996,0.9000005833333333,0.8999919166666667
Bics,0000,1.146,14.843,1.262,16.589,0.8999651666666665,0.8999643333333331
Bics,0001,0.801,19.149,0.917,20.895,0.899956,0.900029
Bics,0002,1.409,22.573,1.5250000000000001,24.319,0.9000367916666665,0.8999751666666667
Bics,0003,0.871,18.896,0.987,20.642,0.8999835,0.8999946666666666
Bics,0004,0.943,12.856,1.059,14.602,0.8999524999999999,0.899948
Biznet,0000,0.311,1.271,0.371,1.379,0.899952,0.900012
Biznet,0001,0.365,0.745,0.425,0.853,0.8999715,0.900007
Biznet,0002,0.318,0.729,0.378,0.837,0.900029,0.8999765
Biznet,0003,0.535,1.151,0.595,1.2590000000000001,0.899952,0.899958
Biznet,0004,0.445,0.712,0.505,0.82,0.899954,0.9000305
Bren,0000,0.194,0.184,0.267,0.267,0.8999297752808989,0.8999578651685394
Bren,0001,0.17,0.21,0.243,0.293,0.8999564606741574,0.899936797752809
Bren,0002,0.177,0.215,0.25,0.298,0.899941011235955,0.8999634831460674
Bren,0003,0.209,0.19,0.282,0.273,0.8999199438202248,0.8999676966292135
Bren,0004,0.232,0.263,0.305,0.34600000000000003,0.899986,0.899996
BsonetEurope,0000,0.364,1.128,0.40599999999999997,1.2409999999999999,0.9000264166666665,0.9000276666666666
BsonetEurope,0001,3.123,1.52,3.165,1.633,0.9000475833333332,0.9000280833333333
