Topology,2-SR_preprocTime,3-SR_preprocTime,4-SR_preprocTime,2-SR_paths,3-SR_paths,4-SR_paths,2-SR_percentage,3-SR_percentage,4-SR_percentage
GtsRomania,0.043,0.052,0.075,1794,4442,6812,21.357142857142858%,2.9215995790581424%,0.26261411300271403%
GtsSlovakia,0.074,0.134,0.27,5082,14938,32826,12.560553633217994%,1.1516459794927145%,0.0815493228569143%
Harnet,0.045,0.08,0.178,2236,7689,16881,26.61904761904762%,5.05722178374112%,0.650791080680977%
Heanet,0.019,0.026,0.046,216,753,1861,85.71428571428571%,68.95604395604396%,51.52270210409745%
HiberniaCanada,0.027,0.029,0.032,504,784,840,26.923076923076923%,4.119377889869693%,0.48422800221361373%
HiberniaGlobal,0.371,24.49,3602.922,60773,944811,-,37.893128819054745%,11.320931737301844%,-
HiberniaIreland,0.02,0.022,0.024,104,104,104,26.53061224489796%,5.019305019305019%,1.1828935395814377%
HiberniaNireland,0.04,0.114,0.285,2179,9415,26050,41.8877354863514%,11.971974263116401%,2.353627839487099%
HiberniaUk,0.031,0.045,0.032,416,416,416,14.14965986394558%,1.165266106442577%,0.10503459071857799%
HiberniaUs,0.05,0.235,2.274,4218,28698,140660,43.47557204700062%,15.490494542863619%,4.204652319553577%
Highwinds,0.06,0.379,15.83,3576,34414,268305,68.74279123414071%,43.76033162940922%,24.241463242748026%
HostwayInternational,0.036,0.062,0.157,1528,6092,15760,42.44444444444444%,12.884940778341795%,2.757944841103178%
HurricaneElectric,0.061,0.33,6.9,5598,45127,285496,44.092627599243855%,16.8560436276707%,5.318281733169405%
Ibm,0.042,0.156,1.475,2744,18392,91541,52.74894271434064%,23.38699422700338%,8.270765683473648%
Iij,0.124,3.1,960.245,21701,280407,3014151,45.25567233900567%,17.170943374042885%,5.587900350963369%
Iinet,0.069,0.154,0.292,4870,16166,38602,17.455197132616487%,2.064465047378234%,0.18232244084037788%
Ilan,0.028,0.038,0.039,572,1232,1532,24.175824175824175%,4.6684350132626%,0.5745790046131344%
Integra,0.074,0.547,10.133,7922,65506,377851,43.403462634231865%,14.906292382330722%,3.7311055576687076%
Intellifiber,0.71,17.322,2969.899,87598,1010193,8936116,23.147619651615088%,3.8119408837907693%,0.48859513898151075%
Internetmci,0.041,0.137,1.004,2808,17407,80705,45.614035087719294%,17.55091752369429%,5.399989294364822%
Internode,0.207,0.327,0.51,15164,39454,69086,5.438049130356823%,0.22447489862671705%,0.006338121584834247%
Interoute,3.384,1842.645,3632.594,415037,11627045,-,31.75712176048848%,8.313146367507999%,-
Intranetwork,0.138,0.652,6.737,14186,83191,350441,25.18999928972228%,4.097392554941537%,0.4927378876447213%
Ion,3.961,553.552,3613.467,371618,6797828,-,19.334963579604576%,2.898675138050871%,-
IowaStatewideFiberMap,0.1,0.531,6.374,10448,71449,358009,30.91856060606061%,7.03326797076797%,1.2137465066677082%
Iris,0.213,2.971,231.922,33076,326745,2465177,25.94196078431373%,5.334525150609786%,0.8559276808664075%
Istar,0.039,0.038,0.063,854,854,854,7.671577434423284%,0.381843220717901%,0.020039741576503473%
Itnet,0.021,0.023,0.021,110,110,110,10.0%,1.2195121951219512%,0.17064846416382254%
Janetbackbone,0.08,2.023,352.747,13444,176358,1715420,59.13089373680507%,29.7520075578649%,11.556817324379386%
JanetExternal,0.023,0.022,0.024,90,90,90,11.11111111111111%,1.5384615384615385%,0.24937655860349126%
Janetlense,0.055,0.32,9.618,4369,37915,287861,60.51246537396122%,30.700404858299596%,14.509269246665793%
Jgn2Plus,0.046,0.032,0.036,306,306,306,5.88235294117647%,0.38910505836575876%,0.02764722145424385%
Karen,0.055,0.088,0.123,2828,7717,12806,19.63888888888889%,2.4267295597484275%,0.19131707900083664%
KentmanApr2007,0.042,0.049,0.076,1472,3112,4392,15.172129457843745%,1.6797832259178893%,0.1312870253624293%
KentmanAug2005,0.049,0.057,0.062,1988,3444,4142,10.8919570458032%,0.7837033396138827%,0.04090035283713365%
KentmanFeb2008,0.05,0.06,0.088,2060,4360,6180,12.676923076923078%,1.1625116651113185%,0.0747401329116603%
KentmanJan2011,0.064,0.073,0.077,2216,2216,2216,4.259736265426166%,0.12151907619180273%,0.0035709323656063652%
KentmanJul2005,0.03,0.033,0.039,616,1028,1176,17.11111111111111%,2.1742808798646363%,0.20579588408231836%
Kreonet,0.024,0.023,0.03,156,156,156,8.333333333333332%,0.819672131147541%,0.08992805755395684%
LambdaNet,0.112,0.268,0.681,8952,31944,83060,12.679527492139034%,1.1586834883250234%,0.07922769159103456%
Latnet,0.213,0.333,0.405,12984,21580,25968,4.069505039867609%,0.10243469906603099%,0.0018959053350986396%
Layer42,0.02,0.019,0.033,78,126,126,52.0%,24.705882352941178%,10.24390243902439%
Litnet,0.088,0.097,0.092,3256,3256,3256,4.2925697410747246%,0.10718664038355437%,0.0027465331514143145%
Marnet,0.031,0.032,0.03,380,380,380,5.263157894736842%,0.3076923076923077%,0.01915341888527102%
Marwan,0.035,0.048,0.056,1088,2884,4486,30.22222222222222%,6.0998307952622675%,0.7850342993140138%
Missouri,0.471,17.029,3157.553,79040,1028796,9805333,27.0822197552184%,5.50530058480133%,0.8326503284973795%
Mren,0.017,0.017,0.017,30,30,30,20.0%,5.88235294117647%,2.4390243902439024%
