Topology,Nodes,Edges,2-SR preprocessing time,3-SR preprocessing time,4-SR preprocessing time,2-SR useful paths,3-SR useful paths,4-SR useful paths,2-SR percentage paths left,3-SR percentage paths left,4-SR percentage paths left,2-SR useful paths adjacency,3-SR useful paths adjacency
JanetExternal,18,10,0.023,0.022,0.024,90,90,90,11.11%,1.54%,0.25%,90,90
Janetlense,80,20,0.055,0.32,9.618,4369,37915,287861,60.51%,30.70%,14.51%,4369,37915
Jgn2Plus,34,18,0.046,0.032,0.036,306,306,306,5.88%,0.39%,0.03%,306,306
Karen,60,25,0.055,0.088,0.123,2828,7717,12806,19.64%,2.43%,0.19%,2957,8251
KentmanApr2007,48,22,0.042,0.049,0.076,1472,3112,4392,15.17%,1.68%,0.13%,1494,3182
KentmanAug2005,58,27,0.049,0.057,0.062,1988,3444,4142,10.89%,0.78%,0.04%,1988,3444
KentmanFeb2008,56,26,0.05,0.06,0.088,2060,4360,6180,12.68%,1.16%,0.07%,2086,4440
KentmanJan2011,78,38,0.064,0.073,0.077,2216,2216,2216,4.26%,0.12%,0.00%,2216,2216
KentmanJul2005,34,16,0.03,0.033,0.039,616,1028,1176,17.11%,2.17%,0.21%,616,1028
Kreonet,24,13,0.024,0.023,0.03,156,156,156,8.33%,0.82%,0.09%,156,156
LambdaNet,92,42,0.112,0.268,0.681,8952,31944,83060,12.68%,1.16%,0.08%,8952,31944
Latnet,148,69,0.213,0.333,0.405,12984,21580,25968,4.07%,0.10%,0.00%,12984,21580
Layer42,14,6,0.02,0.019,0.033,78,126,126,52.00%,24.71%,10.24%,78,126
Litnet,86,43,0.088,0.097,0.092,3256,3256,3256,4.29%,0.11%,0.00%,3256,3256
Marnet,54,20,0.031,0.032,0.03,380,380,380,5.26%,0.31%,0.02%,659,659
Marwan,36,16,0.035,0.048,0.056,1088,2884,4486,30.22%,6.10%,0.79%,1088,2884
Missouri,166,67,0.471,17.029,3157.553,79040,1028796,9805333,27.08%,5.51%,0.83%,79040,1028796
Mren,10,6,0.017,0.017,0.017,30,30,30,20.00%,5.88%,2.44%,30,30
Myren,80,37,0.078,0.102,0.135,4238,9026,12194,8.84%,0.55%,0.02%,4238,9026
Napnet,14,6,0.018,0.018,0.019,78,126,126,52.00%,24.71%,10.24%,78,126
Navigata,34,13,0.042,0.046,0.081,732,2832,7808,39.10%,14.88%,4.50%,732,2832
Netrail,20,7,0.019,0.035,0.026,190,462,686,75.40%,42.31%,18.99%,190,462
NetworkUsa,78,35,0.075,0.176,0.303,6352,18030,35100,15.70%,1.39%,0.09%,6352,18030
Nextgen,40,17,0.036,0.045,0.062,984,1876,2384,22.61%,3.05%,0.30%,984,1876
Niif,82,36,0.066,0.078,0.076,2118,2848,3040,4.80%,0.20%,0.01%,2314,3140
Noel,50,19,0.047,0.126,0.411,2388,11634,38428,38.79%,11.73%,2.57%,2388,11634
Nordu1989,12,7,0.018,0.018,0.018,42,42,42,16.67%,3.85%,1.16%,42,42
Nordu1997,26,14,0.025,0.028,0.028,182,182,182,7.69%,0.69%,0.07%,182,182
Nordu2005,20,9,0.019,0.022,0.02,112,112,112,19.44%,3.11%,0.60%,136,139
Nordu2010,30,15,0.029,0.03,0.03,304,304,304,10.34%,0.85%,0.08%,304,304
Nsfcnet,20,9,0.021,0.025,0.024,196,260,272,34.03%,7.22%,1.45%,196,260
Nsfnet,30,13,0.027,0.039,0.054,732,1928,3132,39.10%,10.13%,1.81%,732,1928
Ntelos,122,47,0.214,3.323,235.394,30480,312811,2463911,30.65%,7.14%,1.31%,30480,312811
Ntt,432,32,0.153,7.454,3232.917,17350,270153,3728465,56.42%,30.23%,14.88%,28594,452818
Oteglobe,204,83,0.867,26.544,3601.727,111282,1424529,-,19.94%,3.19%,-,111282,1424529
Oxford,52,20,0.042,0.081,0.243,2244,8099,21263,31.08%,6.56%,1.07%,2244,8099
Pacificwave,54,18,0.036,0.056,0.052,706,874,898,13.57%,1.11%,0.08%,938,1246
Packetexchange,54,21,0.046,0.116,0.249,2862,10680,26114,34.07%,7.02%,1.01%,2862,10680
Padi,12,7,0.018,0.026,0.017,42,42,42,16.67%,3.85%,1.16%,42,42
Palmetto,140,45,0.209,7.192,2213.419,34786,479481,5330783,39.93%,13.09%,3.55%,34786,479481
Peer1,40,16,0.034,0.069,0.215,1574,6894,21247,43.72%,14.58%,3.72%,1574,6894
Pern,258,127,1.362,2.155,3.315,66092,191254,334049,3.28%,0.08%,0.00%,66092,191254
PionierL1,82,36,0.097,0.388,2.661,9982,54241,213515,22.63%,3.72%,0.46%,9982,54241
PionierL3,104,38,0.114,0.547,4.996,11592,70847,322570,22.28%,3.89%,0.52%,11592,70847
Psinet,50,24,0.052,0.081,0.082,2222,4214,5100,17.50%,1.57%,0.10%,2222,4214
Quest,62,20,0.044,0.3,6.296,4178,35145,232707,57.87%,28.46%,11.73%,4178,35145
RedBestel,202,84,1.015,17.892,1313.151,96890,948093,6679957,16.74%,2.02%,0.18%,96890,948093
Rediris,64,19,0.039,0.136,0.296,2274,9774,30397,36.94%,9.85%,2.03%,2344,10166
Renam,8,5,0.014,0.019,0.015,20,20,20,25.00%,10.00%,6.25%,20,20
Renater1999,46,24,0.047,0.035,0.038,552,552,552,4.35%,0.21%,0.01%,552,552
Renater2001,54,24,0.041,0.057,0.054,1338,2470,3440,10.54%,0.92%,0.06%,1338,2470
Renater2004,72,30,0.061,0.194,0.647,5572,24244,73997,22.08%,3.55%,0.42%,5572,24244
Renater2006,86,33,0.08,0.46,4.691,10390,66814,291032,30.75%,6.58%,0.99%,10390,66814
Renater2008,86,33,0.087,0.497,4.58,10390,66814,291032,30.75%,6.58%,0.99%,10390,66814
Renater2010,112,43,0.159,2.489,177.805,25136,259894,2004336,33.14%,8.56%,1.69%,25136,259894
Restena,42,19,0.037,0.037,0.063,804,1238,1492,13.06%,1.25%,0.10%,804,1238
Reuna,72,37,0.073,0.075,0.068,1332,1332,1332,2.78%,0.08%,0.00%,1332,1332
Rhnet,36,16,0.033,0.041,0.043,910,1498,1726,25.28%,3.17%,0.30%,910,1498
Rnp,68,31,0.063,0.107,0.139,3868,9054,14498,13.86%,1.16%,0.07%,3868,9054
Roedunet,100,42,0.087,0.105,0.095,1722,1722,1722,2.44%,0.06%,0.00%,2425,2425
RoedunetFibre,104,48,0.138,0.54,3.288,15398,79409,286378,14.52%,1.66%,0.14%,15398,79409
Sago,34,18,0.046,0.04,0.033,306,306,306,5.88%,0.39%,0.03%,306,306
Sanet,90,43,0.121,0.22,0.351,7912,21880,38770,10.43%,0.72%,0.03%,7912,21880
Sanren,14,7,0.017,0.018,0.02,84,84,84,33.33%,7.69%,2.33%,84,84
Savvis,40,19,0.04,0.063,0.052,1328,2296,2628,21.57%,2.31%,0.18%,1328,2296
Shentel,70,28,0.079,0.255,1.795,6234,35141,144876,30.54%,6.87%,1.18%,6234,35141
Sinet,152,74,0.306,0.698,0.98,24308,73091,137497,6.16%,0.26%,0.01%,24308,73091
Singaren,20,11,0.021,0.022,0.022,110,110,110,10.00%,1.22%,0.17%,110,110
Spiralight,32,15,0.047,0.058,0.064,978,1930,2458,33.27%,5.41%,0.62%,978,1930
Sprint,36,11,0.026,0.074,0.264,792,4151,15922,72.00%,46.02%,24.70%,792,4151
Sunet,98,26,0.071,0.229,1.01,5230,26015,87132,32.18%,6.94%,1.05%,5230,26015
