Topology,DemandFile,InvCap,TabuIGPWO,MIP,2-SR full,3-SR full,2-SRPP,2-SRPP-adj,3-SRPP,3-SRPP-adj,2-CG4SR,3-CG4SR
Rnp,0001,0.94170035,0.8999746666666667,0.8999746666666667,0.8999746666666667,0.8999746666666667,0.8999746666666667,0.8999746666666667,0.8999746666666667,0.8999746666666667,0.8999746666666667,0.8999746666666667
Rnp,0002,1.16367565,0.899975,0.899975,0.899975,0.899975,0.899975,0.899975,0.899975,0.899975,0.899975,0.899975
Rnp,0003,1.07809245,0.8999915,0.8999915,0.8999915,0.8999915,0.8999915,0.8999915,0.8999915,0.8999915,0.8999915,0.8999915
Rnp,0004,1.44623445,0.8999743333333333,0.8999743333333333,0.8999743333333333,0.8999743333333333,0.8999743333333333,0.8999743333333333,0.8999743333333328,0.8999743333333328,0.8999743333333333,0.8999743333333333
Roedunet,0000,1.0959012824294523,0.9280968634556768,1.0959012824294523,1.0959012824294523,1.0959012824294523,1.0959012824294523,1.0406641102355563,1.0959012824294523,1.0406641102355563,1.0959012824294523,1.0959012824294523
Roedunet,0001,1.2592721193415637,1.0626446759259258,1.2592721193415637,1.2592721193415637,1.2592721193415637,1.2592721193415637,1.197659465020576,1.2592721193415637,1.197659465020576,1.2592721193415637,1.2592721193415637
Roedunet,0002,1.2593171296296297,0.9398019547325103,1.2593171296296297,1.2593171296296297,1.2593171296296295,1.2593171296296297,1.1239776234567902,1.2593171296296297,1.1239776234567902,1.2593171296296297,1.2593171296296297
Roedunet,0003,1.2594071502057613,0.9675925925925926,1.2594071502057613,1.2594071502057613,1.2594071502057613,1.2594071502057613,0.9624164094650206,1.2594071502057613,0.9624164094650206,1.2594071502057613,1.2594071502057613
Roedunet,0004,1.1738302923040187,0.9275701262764597,1.1738302923040187,1.1738302923040187,1.1738302923040187,1.1738302923040187,1.0270110825502508,1.1738302923040187,1.0270110825502508,1.1738302923040187,1.1738302923040187
RoedunetFibre,0000,0.899786,0.899786,0.899786,0.899786,0.899786,0.899786,0.899786,0.899786,0.899786,0.899786,0.899786
RoedunetFibre,0001,0.899795,0.899795,0.899795,0.899795,0.899795,0.899795,0.899795,0.899795,0.899795,0.899795,0.899795
RoedunetFibre,0002,0.899788,0.899788,0.899788,0.899788,0.899788,0.899788,0.899788,0.899788,0.899788,0.899788,0.899788
RoedunetFibre,0003,0.8998,0.8998,0.8998,0.8998,0.8998,0.8998,0.8998,0.899858,0.899858,0.8998,0.8998
RoedunetFibre,0004,0.899794,0.899794,0.899794,0.899794,0.899794,0.899794,0.899794,0.8997939999999999,0.8997939999999999,0.899794,0.899794
Sago,0000,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956
Sago,0001,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956,0.899956
Sago,0002,0.899957,0.899957,0.899957,0.899957,0.899957,0.899957,0.899957,0.899957,0.899957,0.899957,0.899957
Sago,0003,0.899965,0.899965,0.899965,0.899965,0.899965,0.899965,0.899965,0.899965,0.899965,0.899965,0.899965
Sago,0004,0.89996,0.89996,0.89996,0.89996,0.89996,0.89996,0.89996,0.89996,0.89996,0.89996,0.89996
Sanet,0000,1.23998535,0.90029425,0.90005195,0.90015325,0.90013925,0.90018945,0.90018945,0.90010645,0.90010645,0.89999305,0.89999305
Sanet,0001,1.097555,0.90006965,0.90000695,0.9000982,0.9001036,0.90017215,0.90017215,0.90002795,0.90002795,0.90005575,0.89999475
Sanet,0002,1.0606609,0.90004405,0.90003875,0.90002205,0.90005265,0.9000481,0.9000481,0.90004465,0.90004465,0.90007845,0.90007845
Sanet,0003,1.06646225,0.90333365,0.8999955,0.9001073,0.90024965,0.9001191,0.9001191,0.90017675,0.90017675,0.9000488,0.9000488
Sanet,0004,0.96671235,0.90000745,0.90004095,0.90001195,0.90013235,0.9001024999999999,0.9001024999999999,0.90011155,0.90011155,0.90006245,0.90006245
Sanren,0000,1.010696,0.9068735,1.080769,0.90248,0.90248,0.90248,0.90248,0.90248,0.90248,0.905035,0.905035
Sanren,0001,1.198272,0.919806,0.957107,0.9571069999999999,0.9571069999999999,0.9571069999999999,0.9571069999999999,0.9571069999999999,0.9571069999999999,0.957107,0.957107
Sanren,0002,0.999735,0.920072,0.90986,0.90986,0.90986,0.90986,0.90986,0.90986,0.90986,0.920595,0.920595
Sanren,0003,1.022554,0.906063,0.900835,0.9008349999999999,0.900835,0.9008349999999999,0.9008349999999999,0.9008349999999999,0.9008349999999999,0.93441,0.93441
Sanren,0004,0.96753,0.9028695,1.055576,0.921459,0.921459,0.921459,0.921459,0.921459,0.921459,0.96753,0.96753
Savvis,0000,1.1903777777777778,0.8995888888888889,0.8996444444444445,0.8996444444444445,0.8995777777777778,0.8996222222222222,0.8996222222222222,0.8996,0.8996,0.8996,0.8995777777777778
Savvis,0001,1.0243222222222221,0.8996,0.8995777777777778,0.8995888888888889,0.8995777777777774,0.8996333333333333,0.8996333333333333,0.8996111111111105,0.8996111111111105,0.8995777777777778,0.8996444444444445
