Topology,DemandFile,TotalTime,pre-opt-uMax,post-opt-uMax
Arpanet19723,0000,1800.311217911,0.998438,0.899961
Arpanet19723,0001,1800.264345175,1.05999325,0.899965
Arpanet19723,0002,1800.00771542,0.92398775,0.899965
Arpanet19723,0003,1800.366904856,0.9255245,0.89996
Arpanet19723,0004,1800.053337531,1.0445805,0.8999705
Arpanet19728,0000,1800.463960882,1.160817,0.90072
Arpanet19728,0001,1800.460460614,1.18464275,0.900183
Arpanet19728,0002,1800.722055763,1.1961195,0.900368
Arpanet19728,0003,1800.042841352,1.118897,0.9130815
Arpanet19728,0004,1800.305375143,1.23155525,0.900047
AsnetAm,0000,1807.07436796,1.137118625,0.899725
AsnetAm,0001,1806.740490367,1.21302925,0.899732
AsnetAm,0002,1801.073217643,1.640686375,0.899717
AsnetAm,0003,1806.153352008,1.247585625,0.899718
AsnetAm,0004,1806.534998342,2.3302665,1.1573460000000002
Atmnet,0000,1800.056786563,1.2319,0.8998322580645162
Atmnet,0001,1800.128400313,1.0528870967741935,0.8998354838709678
Atmnet,0002,1800.05252393,1.1880645161290322,0.8998612903225807
Atmnet,0003,1800.017631455,1.1654483870967742,0.8998548387096774
Atmnet,0004,1800.252340829,1.2062612903225807,0.8998322580645162
AttMpls,0000,1800.159050504,1.8143539944444442,1.086843
AttMpls,0001,1800.381282826,2.033677,1.102628
AttMpls,0002,1800.517543547,1.8807044375000002,1.1969315
AttMpls,0003,1800.143286222,1.70808515,1.076751
AttMpls,0004,1800.016538075,1.5650365624999998,0.9904035
Azrena,0000,1800.36606382,0.89996,0.89996
Azrena,0001,1800.249993616,0.899949,0.899949
Azrena,0002,1800.457735298,0.899956,0.899956
Azrena,0003,1800.360007997,0.899946,0.899946
Azrena,0004,1800.077876781,0.899962,0.899962
Bandcon,0000,1800.325413354,1.341786,0.899983
Bandcon,0001,1800.311979051,1.36596225,0.89997525
Bandcon,0002,1800.132951868,1.3554525,0.899977
Bandcon,0003,1800.055664548,1.415791,0.900032
Bandcon,0004,1800.07025568,1.4376165,0.8999905
Basnet,0000,1800.001550784,0.8997419354838709,0.8997419354838709
Basnet,0001,1800.005183169,0.8996129032258064,0.8996129032258064
Basnet,0002,1800.00258484,0.8996129032258064,0.8996129032258064
Basnet,0003,1800.00589425,0.8996129032258064,0.8996129032258064
Basnet,0004,1800.001486802,0.8997419354838709,0.8997419354838709
Bbnplanet,0000,1800.175539955,0.9072666666666667,0.8995555555555556
Bbnplanet,0001,1800.068542096,1.1592555555555555,0.8993722222222222
Bbnplanet,0002,1800.464222783,1.4006333333333334,0.8996777777777778
Bbnplanet,0003,1800.215784242,1.3306,0.8997222222222222
Bbnplanet,0004,1800.19943302,1.3677777777777778,0.8989888888888888
Bellcanada,0000,1800.291797747,1.469394,0.899919
Bellcanada,0001,1803.839374638,1.452509,0.899917
Bellcanada,0002,1800.057285089,1.337146,0.902023
Bellcanada,0003,1801.493584329,1.599112,0.912358
Bellcanada,0004,1801.891847421,1.690513,0.9255595
Bellsouth,0000,1801.680958106,1.347594,0.899881
Bellsouth,0001,1802.226364885,1.26125,0.899906
Bellsouth,0002,1801.235166441,1.3044885,0.899886
Bellsouth,0003,1801.732387804,0.98382675,0.899881
Bellsouth,0004,1800.315798645,1.302733,0.899924
Belnet2003,0000,1800.127306721,2.4653276,1.0167480800000002
Belnet2003,0001,1800.215294005,3.254952,0.89998
Belnet2003,0002,1800.036179907,3.0215004,1.0550282
Belnet2003,0003,1800.109363678,0.916029,0.89999
Belnet2003,0004,1800.386658234,2.902152,1.0325922666666667
Belnet2004,0000,1800.525008026,3.1735944,0.9210016
Belnet2004,0001,1800.546134996,1.3974256,1.1211478
Belnet2004,0002,1800.227069107,2.3108296,1.0782988
Belnet2004,0003,1800.490783732,2.162098,0.90002
Belnet2004,0004,1800.340208924,2.3697644,1.0891904
Belnet2005,0000,1800.452002306,1.4111804,0.9409120833333332
Belnet2005,0001,1800.067366018,1.1906645,0.90383185
Belnet2005,0002,1800.046805995,1.2158712,0.9013983
Belnet2005,0003,1800.372168526,1.2810081599999998,1.0284508
Belnet2005,0004,1800.474736596,2.289784,0.9945856
Belnet2006,0000,1800.346572466,1.2965656,1.1247588
Belnet2006,0001,1800.316666872,4.255964,1.2133916
Belnet2006,0002,1800.033262328,1.2887648,0.9897366
Belnet2006,0003,1800.459491882,1.5105060799999999,0.9723916
Belnet2006,0004,1800.287199605,1.1661184,0.9207359
